sample	prediction	WHO_name	fraction	tool
SRR17951439	omicron	omicron	0.746207539462797	truth
SRR17951439	delta	delta	0.256299139157614	truth
SRR17951438	omicron	omicron	0.567137641293461	truth
SRR17951438	delta	delta	0.423986099513977	truth
SRR18272230	omicron	omicron	0.276486767996885	truth
SRR18272230	delta	delta	0.753898723433415	truth
SRR18113107	omicron	omicron	0.56	truth
SRR18113107	delta	delta	0.575	truth
SRR18113108	omicron	omicron	1	truth
SRR18113108	delta	delta	0	truth
SRR18113109	omicron	omicron	0.179	truth
SRR18113109	delta	delta	0.818	truth
SRR18113110	omicron	omicron	0.041	truth
SRR18113110	delta	delta	0.941	truth
SRR18113111	omicron	omicron	0.202	truth
SRR18113111	delta	delta	0.723	truth
SRR18113112	omicron	omicron	0.908	truth
SRR18113112	delta	delta	0.068	truth
SRR18113113	omicron	omicron	0.02	truth
SRR18113113	delta	delta	0.96	truth
SRR18113114	omicron	omicron	0.54	truth
SRR18113114	delta	delta	0.436	truth